,Id,JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Year,Notes,Agency,Status,gender
119822,119823,accountant iv,107472.69,0,0,36880.49,107472.69,144353.18,2014,,San Francisco,FT,male
125546,125547,librarian 1,81797.02,0,1425.97,32051.1,83222.99,115274.09,2014,,San Francisco,FT,
127302,127303,executive secretary 2,77804.06,0,96,30893.33,77900.06,108793.39,2014,,San Francisco,FT,
133344,133345,senior clerk typist,59728.03,0,624,27052.98,60352.03,87405.01,2014,,San Francisco,FT,
123782,123783,rehabilitation svcs coord,87941.53,0,2099.12,33525.33,90040.65,123565.98,2014,,San Francisco,FT,
127212,127213,gardener,63978,15492.01,1434.88,28159.33,80904.89,109064.22,2014,,San Francisco,FT,
119119,119120,assoc engineer,111135.91,0,253.36,37666.74,111389.27,149056.01,2014,,San Francisco,FT,female
129104,129105,community police services aide,65373.61,993.18,6234.82,30171.36,72601.61,102772.97,2014,,San Francisco,FT,female
121024,121025,steamfitter,97355.55,429.62,3407.68,35855.88,101192.85,137048.73,2014,,San Francisco,FT,female
123138,123139,librarian 2,90323.95,0,2354.91,34066.22,92678.86,126745.08,2014,,San Francisco,FT,female
114507,114508,sergeant 3,137982,3184.2,925.47,42822.52,142091.67,184914.19,2014,,San Francisco,FT,female
113806,113807,attorney (civil/criminal),145562.04,0,1250,46695.84,146812.04,193507.88,2014,,San Francisco,FT,female
129304,129305,executive secretary 1,71731.02,0,624,29676.16,72355.02,102031.18,2014,,San Francisco,FT,female
135719,135720,patient care assistant,44603.6,6118.97,1248.69,25865.03,51971.26,77836.29,2014,,San Francisco,FT,female
134906,134907,custodian,47612.1,2430.96,4250.92,27521.27,54293.98,81815.25,2014,,San Francisco,FT,female
130481,130482,employment & training spec 1,67822.8,0,312,29432.61,68134.8,97567.41,2014,,San Francisco,FT,female
129720,129721,library technical assistant 1,70345.24,0,833.85,29419.42,71179.09,100598.51,2014,,San Francisco,FT,female
133714,133715,custodian,52932.01,1963.6,2880.27,28557.33,57775.88,86333.21,2014,,San Francisco,FT,female
133564,133565,porter,53912,3844.35,1905.63,27197.49,59661.98,86859.47,2014,,San Francisco,FT,
124714,124715,medical social worker,85962.3,0,0,32875.75,85962.3,118838.05,2014,,San Francisco,FT,female
132150,132151,hsa sr eligibility worker,57547.22,4576.94,1709.5,27457.94,63833.66,91291.6,2014,,San Francisco,FT,female
113890,113891,registered nurse,128135.8,4933.67,12974.58,46346.04,146044.05,192390.09,2014,,San Francisco,FT,female
129075,129076,community police services aide,64358.14,2499.58,6614.29,29378.31,73472.01,102850.32,2014,,San Francisco,FT,female
135037,135038,senior food service worker,50918.01,2406.74,1012.29,26999.66,54337.04,81336.7,2014,,San Francisco,FT,
130504,130505,payroll clerk,63158.51,6079.18,0,28215.81,69237.69,97453.5,2014,,San Francisco,FT,
130665,130666,transit operator,59325.99,5209.51,1193.22,31050.82,65728.72,96779.54,2014,,San Francisco,FT,female
112181,112182,"lieutenant, fire suppression",136373.12,16112.07,19274.96,48264.3,171760.15,220024.45,2014,,San Francisco,FT,female
119173,119174,protective services supervisor,106408.06,0,4658.26,37607.31,111066.32,148673.63,2014,,San Francisco,FT,female
135410,135411,patient care assistant,49811.5,1630.72,1112.96,27198.52,52555.18,79753.7,2014,,San Francisco,FT,female
131094,131095,hsa sr eligibility worker,64810.62,1198.66,297.13,28755.15,66306.41,95061.56,2014,,San Francisco,FT,female
120106,120107,police officer,91344.67,12963.97,3022.86,35082.89,107331.5,142414.39,2014,,San Francisco,FT,
124631,124632,sr. community devl spc 1,85648.04,0,0,33452.82,85648.04,119100.86,2014,,San Francisco,FT,
132316,132317,senior clerk,59728.01,3674.36,273.68,26975.02,63676.05,90651.07,2014,,San Francisco,FT,
117929,117930,manager vi,113320.59,0,1243.76,42471.87,114564.35,157036.22,2014,,San Francisco,FT,
133312,133313,architectural assistant 1,59126.1,0,0,28287.73,59126.1,87413.83,2014,,San Francisco,FT,female
116808,116809,police officer 3,118008.01,4916.88,4492.2,38805.21,127417.09,166222.3,2014,,San Francisco,FT,female
115142,115143,deputy sheriff,93886.6,41346.24,8263.55,35859.71,143496.39,179356.1,2014,,San Francisco,FT,female
138052,138053,clerk typist,44979.76,0,0,11834.31,44979.76,56814.07,2014,,San Francisco,FT,
115923,115924,engineer,131071.01,0,0,41854.75,131071.01,172925.76,2014,,San Francisco,FT,male
132223,132224,customer service agent,59542.2,1796.12,1790.74,27895.43,63129.06,91024.49,2014,,San Francisco,FT,
122487,122488,"sr marriage, fam & cld cnslr",94271.02,0,0,35408.55,94271.02,129679.57,2014,,San Francisco,FT,
131546,131547,parking control officer,59555.2,5216.12,1521.87,27185.75,66293.19,93478.94,2014,,San Francisco,FT,male
121819,121820,deputy sheriff,89490.37,2772.29,7076.24,33822.41,99338.9,133161.31,2014,,San Francisco,FT,
123496,123497,health educator,90395,0,0,34525.08,90395,124920.08,2014,,San Francisco,FT,female
134702,134703,hsa sr eligibility worker,55069.87,60.64,0,27376.61,55130.51,82507.12,2014,,San Francisco,FT,
119336,119337,transit supervisor,90315.6,17695.07,4749.8,34855.97,112760.47,147616.44,2014,,San Francisco,FT,
120993,120994,transit operator,66964.32,26520.28,7026.52,36699.85,100511.12,137210.97,2014,,San Francisco,FT,
120988,120989,automotive machinist,79760.83,21354.39,4468.35,31644.27,105583.57,137227.84,2014,,San Francisco,FT,male
126323,126324,truck driver,76944.45,1989.46,2567.05,30725.32,81500.96,112226.28,2014,,San Francisco,FT,male
130703,130704,museum guard,61036.03,7605.58,624,27338.81,69265.61,96604.42,2014,,San Francisco,FT,male
114539,114540,registered nurse,133335.5,6348.13,7691.98,37242.79,147375.61,184618.4,2014,,San Francisco,FT,
125021,125022,junior management assistant,68536.82,20139.65,0,28828.75,88676.47,117505.22,2014,,San Francisco,FT,
127102,127103,management assistant,77908.04,0,520,31004.64,78428.04,109432.68,2014,,San Francisco,FT,male
131180,131181,principal clerk,61162.72,5793.48,0,27904.04,66956.2,94860.24,2014,,San Francisco,FT,male
119813,119814,transit operator,66959.29,40365.36,1045.97,36015.2,108370.62,144385.82,2014,,San Francisco,FT,male
130330,130331,junior management assistant,68602.01,0,0,29542,68602.01,98144.01,2014,,San Francisco,FT,male
127869,127870,is engineer-journey,76269.9,0,0,30647.38,76269.9,106917.28,2014,,San Francisco,FT,male
118455,118456,deputy sheriff,94191,14193.87,9270.86,35558.9,117655.73,153214.63,2014,,San Francisco,FT,male
122209,122210,materials coordinator,96658.02,0,0,34450.78,96658.02,131108.8,2014,,San Francisco,FT,male
114696,114697,firefighter,112462.73,9235.15,18470.27,43324.14,140168.15,183492.29,2014,,San Francisco,FT,male
121810,121811,health program coordinator 3,97983.76,0,0,35235.69,97983.76,133219.45,2014,,San Francisco,FT,male
115021,115022,electrician,101383,26298.11,16944.73,36019.94,144625.84,180645.78,2014,,San Francisco,FT,male
118804,118805,architectural associate 2,113209.04,0,0,38043.79,113209.04,151252.83,2014,,San Francisco,FT,male
121171,121172,"operating engineer, universal",91164.5,9945.37,235.15,34825.2,101345.02,136170.22,2014,,San Francisco,FT,male
118452,118453,deputy sheriff,94191,9971.68,12136.02,36956.49,116298.7,153255.19,2014,,San Francisco,FT,male
117551,117552,senior housing inspector,120812.1,0,0,39670.45,120812.1,160482.55,2014,,San Francisco,FT,male
118864,118865,deputy sheriff,94191.04,14888.5,6601.34,35413.77,115680.88,151094.65,2014,,San Francisco,FT,male
119352,119353,pipe welder,97557,14842.64,0,35183.8,112399.64,147583.44,2014,,San Francisco,FT,male
117409,117410,police officer 2,112984.75,6187.35,4480.33,37799.42,123652.43,161451.85,2014,,San Francisco,FT,male
111665,111666,sergeant 3,137982.04,27511.41,24297.4,42824.88,189790.85,232615.73,2014,,San Francisco,FT,male
125431,125432,stationary engineer,78596.85,440.57,4677.18,32059.18,83714.6,115773.78,2014,,San Francisco,FT,male
125076,125077,it operations support admn iii,84898.01,0,0,32417.17,84898.01,117315.18,2014,,San Francisco,FT,male
110656,110657,"lieutenant, fire suppression",130961.02,97098.33,16370.28,47685.97,244429.63,292115.6,2014,,San Francisco,FT,male
117180,117181,"chf stationary eng, sew plant",108733.54,6376.97,8933.13,39025.23,124043.64,163068.87,2014,,San Francisco,FT,male
125812,125813,electrical transit system mech,81830.02,0,690,31894.15,82520.02,114414.17,2014,,San Francisco,FT,male
122110,122111,protective services worker,94691.02,0,2049.53,35004.74,96740.55,131745.29,2014,,San Francisco,FT,male
111831,111832,firefighter,112703.77,50018.08,21412.92,44442.19,184134.77,228576.96,2014,,San Francisco,FT,male
115014,115015,police officer 3,118898,885.46,20904.23,40015.31,140687.69,180703,2014,,San Francisco,FT,male
116981,116982,police officer 2,116584,3555.68,6295.34,38350.37,126435.02,164785.39,2014,,San Francisco,FT,male
127834,127835,transit operator,64778.15,6570.74,1098.28,34544.77,72447.17,106991.94,2014,,San Francisco,FT,male
